MJD-2450000	SCFL	SCER
5276.5	17049.85	6.9785
5276.5	17026.17	6.9788
5276.5	17014.35	6.9790
5276.5	17026.05	6.9792
5276.5	17016.33	6.9794
5276.5	17013.05	6.9796
5276.5	17067.13	6.9798
5276.7	17075.71	6.9800
5276.7	17055.81	6.9803
5276.7	17045.54	6.9805
5276.7	17067.75	6.9807
5276.7	17067.41	6.9809
5276.7	17098.78	6.9811
5276.7	17075.07	6.9813
5276.7	17079.72	6.9815
5276.7	17080.06	6.9818
5276.7	17087.91	6.9820
5276.7	17095.30	6.9822
5276.7	17101.16	6.9824
5277.0	17104.98	6.9826
5277.0	17101.35	6.9828
5277.0	17128.08	6.9830
5277.0	17117.45	6.9833
5277.0	17128.06	6.9835
5277.0	17134.14	6.9837
5277.0	17134.35	6.9838
5277.0	17130.29	6.9839
5277.0	17147.68	6.9840
5277.0	17139.92	6.9842
5277.0	17140.40	6.9843
5277.0	17151.95	6.9844
5277.0	17165.70	6.9845
5277.3	17149.57	6.9846
5277.3	17169.89	6.9847
5277.3	17185.93	6.9848
5277.3	17167.79	6.9850
5277.3	17179.26	6.9852
5277.3	17179.11	6.9853
5277.3	17186.63	6.9854
5277.3	17189.16	6.9855
5277.3	17170.31	6.9857
5277.3	17182.44	6.9858
5277.3	17194.79	6.9859
5277.5	17197.77	6.9860
5277.5	17180.74	6.9861
5277.5	17196.82	6.9862
5277.5	17225.63	6.9864
5277.5	17214.57	6.9865
5277.5	17199.96	6.9865
5277.5	17204.54	6.9865
5277.5	17208.73	6.9865
5277.5	17202.55	6.9865
5277.5	17204.61	6.9865
5277.5	17207.31	6.9865
5277.5	17210.82	6.9865
5277.7	17198.46	6.9865
5277.7	17227.46	6.9864
5277.7	17217.49	6.9864
5277.7	17209.40	6.9864
5277.7	17216.06	6.9864
5277.7	17228.81	6.9864
5277.7	17225.15	6.9864
5277.7	17229.78	6.9864
5277.7	17233.40	6.9864
5277.7	17221.83	6.9864
5277.7	17238.39	6.9864
5278.0	17251.04	6.9864
5278.0	17227.98	6.9864
5278.0	17244.59	6.9864
5278.0	17231.15	6.9864
5278.0	17225.15	6.9864
5278.0	17235.68	6.9865
5278.0	17260.15	6.9865
5278.0	17244.46	6.9865
5278.0	17244.47	6.9865
5278.0	17251.75	6.9865
5278.0	17250.95	6.9866
5278.3	17245.89	6.9866
5278.3	17254.56	6.9866
5278.3	17240.75	6.9866
5278.3	17244.49	6.9867
5278.3	17217.32	6.9867
5278.3	17244.61	6.9867
5278.3	17248.29	6.9867
5278.3	17248.51	6.9867
5278.3	17269.25	6.9868
5278.3	17240.95	6.9868
5278.3	17246.85	6.9868
5278.3	17257.79	6.9868
5278.5	17252.78	6.9868
5278.5	17248.72	6.9869
5278.5	17245.19	6.9869
5278.5	17247.12	6.9867
5278.5	17243.31	6.9866
5278.5	17238.16	6.9864
5278.5	17244.77	6.9862
5278.5	17252.32	6.9861
5278.5	17248.82	6.9859
5278.5	17241.22	6.9857
5278.5	17227.20	6.9856
5278.8	17232.13	6.9854
5278.8	17216.66	6.9852
5278.8	17224.65	6.9851
5278.8	17222.76	6.9849
5278.8	17219.98	6.9846
5278.8	17231.18	6.9844
5278.8	17220.02	6.9842
5278.8	17204.42	6.9841
5278.8	17229.12	6.9839
5278.8	17199.51	6.9837
5278.8	17195.37	6.9836
5279.0	17202.93	6.9834
5279.0	17196.97	6.9832
5279.0	17182.76	6.9831
5279.0	17194.95	6.9829
5279.0	17208.49	6.9828
5279.0	17184.24	6.9828
5279.0	17207.11	6.9827
5279.0	17193.67	6.9826
5279.0	17198.19	6.9826
5279.0	17207.92	6.9825
5279.0	17191.27	6.9824
5279.0	17200.75	6.9824
5279.2	17195.88	6.9823
5279.2	17196.77	6.9822
5279.2	17206.15	6.9822
5279.2	17183.01	6.9821
5279.2	17211.07	6.9820
5279.2	17180.79	6.9820
5279.2	17183.59	6.9819
5279.2	17181.62	6.9819
5279.2	17185.99	6.9818
5279.2	17171.76	6.9817
5279.2	17201.50	6.9816
5279.2	17191.32	6.9815
5279.5	17208.01	6.9815
5279.5	17199.64	6.9814
5279.5	17190.64	6.9813
5279.5	17205.08	6.9815
5279.5	17190.81	6.9816
5279.5	17199.20	6.9818
5279.5	17202.22	6.9819
5279.5	17205.99	6.9820
5279.5	17195.11	6.9822
5279.5	17204.43	6.9823
5279.5	17222.79	6.9825
5279.5	17221.43	6.9826
5279.7	17218.31	6.9827
5279.7	17240.61	6.9829
5279.7	17237.48	6.9830
5279.7	17235.69	6.9832
5279.7	17253.82	6.9833
5279.7	17220.98	6.9834
5279.7	17238.07	6.9836
5279.7	17250.17	6.9837
5279.7	17242.53	6.9839
5279.7	17249.42	6.9840
5279.7	17236.90	6.9841
5279.7	17255.03	6.9843
5280.0	17246.05	6.9844
5280.0	17260.62	6.9846
5280.0	17264.15	6.9847
5280.0	17263.65	6.9848
5280.0	17273.41	6.9849
5280.0	17269.11	6.9850
5280.0	17274.24	6.9851
5280.0	17284.81	6.9852
5280.0	17284.62	6.9853
5280.0	17290.00	6.9854
5280.0	17260.76	6.9855
5280.0	17283.95	6.9856
5280.2	17287.99	6.9857
5280.2	17286.79	6.9858
5280.2	17292.87	6.9860
5280.2	17299.03	6.9861
5280.2	17295.35	6.9862
5280.2	17307.83	6.9864
5280.2	17310.33	6.9865
5280.2	17309.89	6.9866
5280.2	17316.70	6.9867
5280.2	17331.25	6.9868
5280.2	17327.60	6.9869
5280.5	17328.44	6.9870
5280.5	17320.46	6.9871
5280.5	17321.25	6.9873
5280.5	17335.43	6.9874
5280.5	17329.60	6.9876
5280.5	17364.76	6.9878
5280.5	17358.45	6.9879
5280.5	17358.97	6.9881
5280.5	17372.48	6.9883
5280.5	17374.08	6.9884
5280.5	17361.59	6.9886
5280.5	17358.88	6.9888
5280.8	17373.45	6.9889
5280.8	17386.45	6.9891
5280.8	17390.35	6.9893
5280.8	17402.38	6.9894
5280.8	17408.58	6.9896
5280.8	17390.04	6.9898
5280.8	17412.20	6.9899
5280.8	17421.62	6.9901
5280.8	17410.15	6.9903
5280.8	17428.83	6.9904
5280.8	17432.84	6.9906
5280.8	17413.84	6.9908
5281.0	17423.70	6.9909
