HJD-50000	flux[mJy]	flux_err[mJy]	Epoch
5414.0	5.2318	0.035362	1
5417.1	5.1965	0.035328	1
5420.4	5.1191	0.035382	1
5423.4	5.0379	0.035437	1
5426.1	5.0318	0.035489	1
5428.7	4.9167	0.035263	1
5431.6	4.8977	0.035342	1
5434.3	4.8309	0.035178	1
5437.4	4.7620	0.035068	1
5440.7	4.6811	0.034979	1
5444.1	4.6496	0.035224	1
5447.4	4.6766	0.034996	1
5450.3	4.5674	0.034887	1
5453.7	4.5762	0.035019	1
5456.4	4.5757	0.034936	1
5459.2	4.5576	0.035004	1
5462.5	4.5684	0.034976	1
5465.2	4.5591	0.035106	1
5468.4	4.5567	0.035110	1
5471.2	4.5663	0.035295	1
5473.7	4.5329	0.035363	1
5476.9	4.4806	0.035172	1
5479.9	4.4363	0.035157	1
5483.1	4.4274	0.035257	1
5486.3	4.4095	0.036708	1
5489.2	4.3921	0.036889	1
5492.3	4.3751	0.036883	1
5495.0	4.3733	0.036776	1
5497.6	4.5177	0.036983	1
5500.4	4.4062	0.036638	1
5503.7	4.4830	0.036744	1
5506.4	4.5617	0.037740	1
5509.7	4.6085	0.036974	1
5512.3	4.6954	0.036892	1
5515.5	4.7395	0.036830	1
5518.9	4.8207	0.037012	1
5522.2	4.8573	0.037139	1
5525.4	4.8666	0.036856	1
5528.3	4.8688	0.036776	1
5531.4	4.8139	0.037198	1
5534.3	4.8060	0.036860	1
5537.1	4.8035	0.036804	1
5540.0	4.6608	0.036841	1
5543.1	4.6330	0.036616	1
5546.4	4.5459	0.036870	1
5549.2	4.4570	0.036527	1
5552.5	4.3616	0.036709	1
5555.0	4.3353	0.036767	1
5557.6	4.2855	0.036450	1
5560.5	4.2534	0.036440	1
5563.6	4.1733	0.036629	1
5714.0	4.1917	0.035310	2
5716.6	4.2738	0.034988	2
5719.7	4.3434	0.035096	2
5722.9	4.3826	0.036185	2
5725.9	4.4082	0.034809	2
5728.9	4.4130	0.034831	2
5731.7	4.3930	0.034904	2
5735.0	4.3664	0.034835	2
5737.8	4.3373	0.034832	2
5740.5	4.2543	0.034473	2
5743.0	4.2310	0.034384	2
5745.3	4.1580	0.034737	2
5748.0	4.1045	0.034482	2
5750.9	4.0562	0.034727	2
5757.3	3.9798	0.034266	2
5760.7	3.9812	0.034470	2
5763.3	3.9909	0.034349	2
5766.1	3.9480	0.034865	2
5768.6	4.0109	0.034829	2
5771.8	3.9782	0.034627	2
5774.8	4.0275	0.034493	2
5778.3	3.9703	0.034701	2
5781.5	3.9608	0.034574	2
6230.2	7.3234	0.036551	3
6227.2	7.3635	0.036013	3
6224.3	7.3168	0.036183	3
6220.8	7.2710	0.036264	3
6217.8	7.2304	0.036322	3
6215.2	7.2003	0.036309	3
6212.1	7.1526	0.036209	3
6209.2	7.1496	0.036240	3
6206.1	7.1023	0.036362	3
6203.4	7.1034	0.036085	3
6292.1	7.0343	0.036306	3
6200.4	7.1103	0.036237	3
6197.4	7.1296	0.035902	3
6289.4	6.9398	0.036365	3
6194.2	7.1214	0.036089	3
6286.1	6.9128	0.036185	3
6191.3	7.0498	0.035818	3
6283.6	6.8946	0.036120	3
6188.8	6.9898	0.036222	3
6281.1	6.8402	0.036029	3
6186.2	6.9506	0.036340	3
6183.2	6.8856	0.036068	3
6277.7	6.8330	0.036162	3
6180.1	6.8198	0.035917	3
6274.4	6.8314	0.036208	3
6177.5	6.7219	0.035721	3
6270.9	6.7974	0.036175	3
6268.2	6.8435	0.036260	3
6265.7	6.8159	0.035953	3
6262.9	6.8267	0.036152	3
6259.5	6.8944	0.036370	3
6256.6	6.8324	0.036552	3
6253.6	6.9063	0.036778	3
6250.7	6.9678	0.036266	3
6247.8	7.0524	0.036289	3
6244.9	7.1239	0.036270	3
6242.3	7.1855	0.036617	3
6239.1	7.2842	0.036604	3
6236.2	7.4585	0.036473	3
6233.1	7.4219	0.036549	3
