HJD-55000	HJD-50000	Spitzer_flux[mJy]	Spitzer_flux_err[mJy]	Kepler_flux[units]	Kepler_flux_err[units]
414.03	5414.0	5.0327	0.0090792	16252.19	9.0055
417.12	5417.1	4.9862	0.010039	16176.19	9.0044
420.37	5420.4	4.9149	0.0086353	16056.79	9.0043
423.43	5423.4	4.8460	0.0098008	16017.12	9.0042
426.14	5426.1	4.8160	0.0078728	16148.33	9.0040
428.73	5428.7	4.7251	0.0081735	15959.63	9.0039
431.59	5431.6	4.6897	0.0079798	15910.77	9.0070
434.31	5434.3	4.6246	0.0088403	15956.25	9.0046
437.41	5437.4	4.5426	0.0078831	15936.40	9.0044
440.70	5440.7	4.4867	0.0081901	15878.13	9.0055
444.06	5444.1	4.4587	0.0073828	15899.17	9.0059
447.36	5447.4	4.4696	0.0079624	16289.04	9.0109
450.26	5450.3	4.3943	0.0082972	16217.90	9.0109
453.71	5453.7	4.3807	0.0082143	16230.75	9.0145
456.39	5456.4	4.3867	0.0084809	16311.96	9.0136
459.16	5459.2	4.3764	0.0083621	16141.87	9.0147
462.49	5462.5	4.3716	0.0084985	16094.00	9.0137
465.20	5465.2	4.3659	0.0081428	16117.55	7.2626
468.44	5468.4	4.3380	0.0080316	15964.83	7.2601
471.16	5471.2	4.3750	0.0076688	16043.28	7.2639
473.72	5473.7	4.3313	0.0077961	16025.64	7.2655
476.90	5476.9	4.2614	0.0078991	15956.05	7.2658
479.92	5479.9	4.2285	0.0078282	15856.92	7.2661
483.07	5483.1	4.2219	0.0076250	15922.85	7.2694
486.32	5486.3	4.2085	0.013141	15925.14	7.2724
489.16	5489.2	4.1475	0.015824	16039.74	7.2783
492.27	5492.3	4.1581	0.015814	16247.36	7.2831
495.00	5495.0	4.1483	0.010484	16369.13	7.2883
497.65	5497.6	4.3128	0.010205	16363.52	7.2912
500.35	5500.4	4.1982	0.011181	16463.19	7.2953
503.70	5503.7	4.2704	0.012675	16538.88	7.3012
506.44	5506.4	4.3511	0.011286	16782.77	7.3096
509.72	5509.7	4.4039	0.016446	16685.15	7.3109
512.34	5512.3	4.4879	0.010866	16639.23	7.3145
515.46	5515.5	4.5394	0.016418	16619.83	7.3164
518.92	5518.9	4.6010	0.010919	16542.77	7.3192
522.16	5522.2	4.6668	0.015729	16608.70	7.3237
525.40	5525.4	4.6546	0.013349	16344.91	7.3239
528.34	5528.3	4.6760	0.025875	16240.75	7.3276
531.43	5531.4	4.6277	0.013874	16006.79	7.3270
534.28	5534.3	4.5966	0.013242	15833.12	7.3287
537.14	5537.1	4.5985	0.011168	15734.72	7.3328
539.98	5540.0	4.4848	0.014347	15710.15	7.3368
543.13	5543.1	4.4297	0.011556	15706.82	7.3423
546.45	5546.4	4.3068	0.010679	15710.90	7.3517
549.16	5549.2	4.2499	0.024583	15686.48	7.3580
552.51	5552.5	4.1527	0.014215	15682.89	7.3648
